sku_name,label,neg_label
ATLAS COPCO/阿特拉斯科普柯 最小压力阀保养包&恒温阀保养包(83℃) 2901187200 1个\使用寿命：4000h外形尺寸：30×40mm重量：20g,机械产品-压缩机设备-压缩机及配件-螺杆式压缩机配件,
机械密封（MG1)/适配于西派克螺杆泵型号BN10-6L 零件号330,机械产品-工业泵-工业泵及配件-螺杆泵配件,
ThinkPad X1 Carbon 酷睿i5 14英寸高端轻薄笔记本电脑(酷睿i5-1240P 16G 512G/4G版/2.2K)商务办公学生本,电子通信及自动化产品-电子计算机-计算机-笔记本电脑,
"内六角螺栓（配弹垫）\M12*30,8.8级",五金材料-紧固件-螺栓-内六角螺栓,
华为HUAWEI FreeBuds 4无线耳机 半开放主动降噪真无线蓝牙入耳式耳机 双连接 冰霜银,日常及办公用品-办公用品-办公器材-耳机,
新界 铝壳小型潜水泵，QX40-9-1.5L2，电缆长度8米， 连接方式：软管以及螺纹,机械产品-工业泵-工业泵及配件-离心泵,
铁丝\8#  镀锌,材料产品-黑色金属及制品-铁丝-铁丝,
得力(deli)60只15mm黑色长尾夹票夹 小号金属燕尾夹票据夹子 办公用品 8566,日常及办公用品-办公用品-办公文具-夹子,
申乐\M14*60 外六角螺栓 不锈钢 含螺母 垫片 计价单位:套,五金材料-紧固件-螺栓-六角头螺栓,
得力（deli） 电动卷笔刀学生削笔器铅笔刀削笔刀简约纯色男孩女孩电动铅笔削笔机转笔刀 基础款 蓝色0502,日常及办公用品-办公用品-办公文具-削笔器,
焊接弯头\合金弯头/820/10/90°/10CrMoAl,五金材料-工业管件-弯头-弯头,
上汇 5#圆形铁票夹票据夹强力夹不锈钢办公用固定山形蝴蝶夹固定画板夹3.1厘米/可夹100张\66只装,日常及办公用品-办公用品-办公文具-夹子,
抗燃油装置备件大机冲洗板\CTJ3000007,专用设备及配件-汽轮机系统设备-汽轮机油系统设备-抗燃油再生装置配件,
六角头螺栓\10/70/不锈钢,五金材料-紧固件-螺栓-六角头螺栓,
刮板输送机备件压盖\10X10....1400lg/TECHNIP,机械产品-工程、运输设备-工程、运输机械及配件-输送机配件,
天威 CC388A 硒鼓 88A适用惠普P1108 M126a P1106 M1136 M128fn M226dw (新老包装随机)\约1500页,日常及办公用品-办公用品-办公耗材-硒鼓,
绘威CF277X易加粉硒鼓（再生芯片） 适用惠普HP M305d M405d M405dn/dw M329dw M429dw/fdn/fdw打印机墨粉盒,日常及办公用品-办公用品-办公耗材-硒鼓,
得力（deli）钢卷尺 8208 5米 全包胶 【单位：卷】ZY01,工器具-量具、衡器-量具-卷尺,
